timestamp,hr,rmssd,scl,stress_prob,prediction
2026-02-21 12:24:21.283627,105,42.0,5.0,68.51599265173874,2
2026-02-21 12:24:46.484854,58,42.0,5.0,25.530392156862742,0
2026-02-21 12:25:18.803290,75,42.0,5.0,30.6,0
2026-02-23 20:48:56.576145,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-23 20:49:04.580242,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 12:45:00.512269,75,42.0,5.0,53.64661443474768,1
2026-02-26 17:31:38.089009,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 17:32:34.742172,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 17:32:47.447902,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 17:44:21.106073,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 18:04:53.417737,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-27 00:32:41.004022,154,12.5,30.9,68.51599265173873,2
2026-02-27 00:32:53.854708,100,137.5,19.9,72.9302520695299,2
2026-02-27 00:33:07.581093,100,150.0,5.5,72.93025206952989,2
2026-02-27 00:39:44.960770,82,150.0,5.5,63.00387469016309,2
2026-02-27 00:39:52.244264,82,127.5,3.2,63.00387469016309,2
2026-02-27 00:39:57.996317,82,86.5,3.2,63.00387469016309,2
2026-02-27 00:39:58.910496,82,86.5,3.2,63.00387469016309,2
2026-02-27 00:40:03.128564,82,61.0,3.2,63.00387469016309,2
2026-02-27 00:40:06.288498,82,47.0,3.2,63.00387469016309,2
2026-02-27 00:46:52.746048,82,47.0,3.2,63.00387469016309,1
2026-02-27 00:47:01.933162,73,47.0,3.2,62.719775801727096,1
2026-02-27 00:47:11.958490,73,29.5,2.2,62.719775801727096,1
2026-02-27 00:49:13.192442,75,42.0,5.0,53.64661443474768,1
2026-02-27 00:49:39.788451,75,24.5,1.7,53.64661443474768,1
2026-02-27 00:52:20.538356,75,78.0,1.7,53.64661443474768,1
2026-02-27 00:52:26.689995,75,60.5,1.7,53.64661443474768,1
2026-02-27 00:52:32.737943,75,138.5,1.7,53.64661443474768,1
2026-02-27 00:54:39.651277,68,79.0,1.7,71.00033135728265,2
2026-02-27 01:00:32.618953,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:00:44.090827,65,77.0,1.5,70.08128373823503,2
2026-02-27 01:02:53.688429,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:05:17.405170,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:06.170992,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:10.079085,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:35.177154,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:35.429822,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:22:24.473947,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:23:56.665732,64,65.5,1.4,60.365108789994856,1
2026-02-27 01:32:46.115274,64,65.5,1.4,60.365108789994856,1
2026-02-27 01:32:49.880487,64,65.5,1.4,60.365108789994856,1
2026-02-27 01:33:16.035369,66,66.0,1.5,70.19914088109218,2
2026-02-27 01:36:56.860925,66,66.0,1.5,70.19914088109219,2
2026-02-27 01:37:11.886319,68,62.0,1.2,71.00033135728265,2
2026-02-27 02:09:10.354069,65,66.0,1.9,70.08128373823503,2
2026-02-27 16:14:46.021904,66,66.0,1.4,70.19914088109218,2
2026-02-27 16:32:40.896703,75,42.0,5.0,53.64661443474768,1
2026-02-27 16:33:02.245825,64,62.5,1.3,60.365108789994856,1
2026-02-27 16:33:10.688437,64,62.5,2.2,60.365108789994856,1
2026-02-27 16:38:26.771560,68,62.5,1.2,71.00033135728265,1
2026-02-27 16:50:04.325495,65,55.5,5.0,70.08128373823503,1
2026-02-27 16:50:10.322378,65,55.5,1.3,70.08128373823503,1
2026-02-27 16:56:12.191005,65,55.5,1.1,29.91871626176496,0
2026-02-27 16:56:19.187733,65,63.0,1.1,29.91871626176496,0
2026-02-27 16:56:27.610053,65,102.5,3.1,29.91871626176496,0
2026-02-27 16:56:37.844937,91,102.5,4.8,25.00813347728324,0
2026-02-27 16:56:41.611757,147,102.5,4.8,31.48400734826126,0
2026-02-27 16:56:44.802364,187,102.5,4.8,31.48400734826125,0
2026-02-27 17:15:39.617463,65,54.5,1.1,29.91871626176496,0
2026-02-27 17:16:17.701151,92,54.5,6.2,29.29347342062602,0
2026-02-27 17:16:24.913325,117,54.5,6.2,31.48400734826125,0
2026-02-27 17:16:31.216967,145,54.5,6.2,31.48400734826126,0
2026-02-27 17:16:37.175589,145,25.5,6.2,31.484007348261265,0
2026-02-27 17:16:46.094041,145,25.5,10.3,31.48400734826125,0
2026-02-27 17:50:52.255327,65,61.0,1.1,29.91871626176496,0
2026-02-27 17:51:01.116711,128,23.0,16.1,31.48400734826126,0
2026-02-27 17:51:11.557577,128,23.0,16.1,31.48400734826126,0
2026-02-28 13:20:10.733984,64,66.0,1.3,1.8543170765042305,0
2026-02-28 13:20:23.753778,101,28.0,12.4,26.308465003967285,0
2026-03-01 01:07:09.232361,111,25.5,12.3,79.28732633590698,2
2026-03-01 01:07:26.778586,103,32.0,9.9,58.77133011817932,2
2026-03-01 01:07:31.836357,98,32.0,9.9,25.6702721118927,0
2026-03-01 01:09:10.477475,77,38.5,7.0,0.5790764931589365,0
2026-03-01 01:12:04.930005,84,34.0,7.2,1.8156170845031736,0
2026-03-01 01:12:07.987366,84,34.0,8.3,1.8156170845031736,0
2026-03-01 01:12:11.291408,84,42.0,8.3,1.8156170845031736,0
2026-03-01 01:12:12.150622,84,42.0,8.3,1.8156170845031736,0
2026-03-01 01:12:15.321018,90,42.0,8.3,13.2239431142807,0
2026-03-01 01:12:18.410153,102,42.0,8.3,28.60827147960663,1
2026-03-01 01:12:19.167055,102,42.0,8.3,28.60827147960663,1
2026-03-01 01:12:37.047497,102,50.5,8.3,28.60827147960663,1
2026-03-01 01:12:42.592972,102,91.0,12.0,28.60827147960663,1
2026-03-01 01:12:48.021709,109,105.0,12.0,79.28732633590698,2
2026-03-01 01:12:51.605911,109,80.0,12.0,79.28732633590698,2
2026-03-01 03:23:59.350091,75,42.0,22.0,0.5790764931589365,0
2026-03-01 03:24:10.112824,96,42.0,22.0,25.6702721118927,1
2026-03-01 03:24:14.756095,123,42.0,22.0,79.28732633590698,2
2026-03-01 03:24:19.945267,123,31.0,22.0,79.28732633590698,2
2026-03-01 03:24:40.327035,123,26.0,1.5,98.04612994194032,2
2026-03-01 03:24:50.376716,92,26.0,1.5,86.24690771102905,2
2026-03-01 03:24:54.974450,92,43.0,1.5,86.24690771102905,2
2026-03-01 03:25:03.600904,92,60.0,1.5,86.24690771102905,2
2026-03-01 03:25:08.705684,80,60.0,1.5,16.465362906455994,0
2026-03-02 15:46:06.642353,108,67.0,5.2,79.28732633590698,2
2026-03-02 20:10:09.272547,75,42.0,5.2,0.5790764931589365,0
